00059B, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0005DA, "Apex Automationstechnik", "SCADA_VENDOR", "3"
0005DC, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0005DD, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000628, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00062A, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00063D, "Microwave Data Systems, Inc.", "SCADA_VENDOR", "3"
000652, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000653, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00065B, "Dell Computer Corp.", "PC_VENDOR", "5"
000660, "Nadex Co., Ltd.", "SCADA_VENDOR", "3"
000677, "Sick AG", "SCADA_VENDOR", "3"
00067C, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0006C1, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0006D6, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0006D7, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0006F6, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00070D, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00070E, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000746, "TURCK, Inc.", "SCADA_VENDOR", "3"
00074F, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000750, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000768, "Danfoss A/S", "SCADA_VENDOR", "3"
00077D, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000784, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000785, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0007A6, "Home Automation, Inc.", "SCADA_VENDOR", "3"
0007B3, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0007B4, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0007BE, "DataLogic SpA", "SCADA_VENDOR", "3"
0007EB, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0007EC, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000808, "PPT Vision, Inc.", "SCADA_VENDOR", "3"
000820, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000821, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00082F, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000830, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000831, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000832, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000874, "Dell Computer Corp.", "PC_VENDOR", "5"
00087C, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00087D, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00089B, "ICP Electronics Inc.", "SCADA_VENDOR", "2"
0008A3, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0008A4, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0008C2, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0008CC, "Remotec, Inc.", "ROBOTICS", "3"
0008E2, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
